text,latency
The moon landing was staged by NASA.,0.07411909103393555
The moon landing was staged by NASA.,0.0637061595916748
The moon landing was staged by NASA.,0.05511903762817383
The moon landing was staged by NASA.,0.05742907524108887
The moon landing was staged by NASA.,0.20686984062194824
The moon landing was staged by NASA.,0.05575823783874512
The moon landing was staged by NASA.,0.07710123062133789
The moon landing was staged by NASA.,0.05384230613708496
The moon landing was staged by NASA.,0.06276988983154297
The moon landing was staged by NASA.,0.14376378059387207
The moon landing was staged by NASA.,0.057144880294799805
The moon landing was staged by NASA.,0.05391693115234375
The moon landing was staged by NASA.,0.053993940353393555
The moon landing was staged by NASA.,0.06966924667358398
The moon landing was staged by NASA.,0.057440996170043945
The moon landing was staged by NASA.,0.055937767028808594
The moon landing was staged by NASA.,0.0639500617980957
The moon landing was staged by NASA.,0.05387425422668457
The moon landing was staged by NASA.,0.2112879753112793
The moon landing was staged by NASA.,0.05445504188537598
The moon landing was staged by NASA.,0.053353071212768555
The moon landing was staged by NASA.,0.08043408393859863
The moon landing was staged by NASA.,0.053457021713256836
The moon landing was staged by NASA.,0.14464688301086426
The moon landing was staged by NASA.,0.053336143493652344
The moon landing was staged by NASA.,0.06522989273071289
The moon landing was staged by NASA.,0.054579973220825195
The moon landing was staged by NASA.,0.05630302429199219
The moon landing was staged by NASA.,0.06853508949279785
The moon landing was staged by NASA.,0.055348873138427734
The moon landing was staged by NASA.,0.05626106262207031
The moon landing was staged by NASA.,0.20314693450927734
The moon landing was staged by NASA.,0.06600499153137207
The moon landing was staged by NASA.,0.056964874267578125
The moon landing was staged by NASA.,0.06100821495056152
The moon landing was staged by NASA.,0.05418705940246582
The moon landing was staged by NASA.,0.1556873321533203
The moon landing was staged by NASA.,0.055036067962646484
The moon landing was staged by NASA.,0.0579829216003418
The moon landing was staged by NASA.,0.0713810920715332
The moon landing was staged by NASA.,0.05736684799194336
The moon landing was staged by NASA.,0.056799888610839844
The moon landing was staged by NASA.,0.05735611915588379
The moon landing was staged by NASA.,0.0645289421081543
The moon landing was staged by NASA.,0.06373286247253418
The moon landing was staged by NASA.,0.1981499195098877
The moon landing was staged by NASA.,0.05525469779968262
The moon landing was staged by NASA.,0.062400102615356445
The moon landing was staged by NASA.,0.0552670955657959
The moon landing was staged by NASA.,0.0555419921875
The moon landing was staged by NASA.,0.13747000694274902
The moon landing was staged by NASA.,0.05541491508483887
The moon landing was staged by NASA.,0.05649375915527344
The moon landing was staged by NASA.,0.055565834045410156
The moon landing was staged by NASA.,0.05519294738769531
The moon landing was staged by NASA.,0.06871294975280762
The moon landing was staged by NASA.,0.054926156997680664
The moon landing was staged by NASA.,0.057737112045288086
The moon landing was staged by NASA.,0.06548786163330078
The moon landing was staged by NASA.,0.2101609706878662
The moon landing was staged by NASA.,0.054459333419799805
The moon landing was staged by NASA.,0.0553891658782959
The moon landing was staged by NASA.,0.05530905723571777
The moon landing was staged by NASA.,0.0794217586517334
The moon landing was staged by NASA.,0.15634584426879883
The moon landing was staged by NASA.,0.05662107467651367
The moon landing was staged by NASA.,0.07659697532653809
The moon landing was staged by NASA.,0.054042816162109375
The moon landing was staged by NASA.,0.05493593215942383
The moon landing was staged by NASA.,0.06623673439025879
The moon landing was staged by NASA.,0.05489206314086914
The moon landing was staged by NASA.,0.053994178771972656
The moon landing was staged by NASA.,0.23046302795410156
The moon landing was staged by NASA.,0.07136321067810059
The moon landing was staged by NASA.,0.05385708808898926
The moon landing was staged by NASA.,0.05479884147644043
The moon landing was staged by NASA.,0.05465984344482422
The moon landing was staged by NASA.,0.13461875915527344
The moon landing was staged by NASA.,0.05489039421081543
The moon landing was staged by NASA.,0.055348873138427734
The moon landing was staged by NASA.,0.05507612228393555
The moon landing was staged by NASA.,0.07454800605773926
The moon landing was staged by NASA.,0.05374789237976074
The moon landing was staged by NASA.,0.053420066833496094
The moon landing was staged by NASA.,0.07170510292053223
The moon landing was staged by NASA.,0.05792999267578125
The moon landing was staged by NASA.,0.20807719230651855
The moon landing was staged by NASA.,0.05289602279663086
